2026-09-26T03:15:37.334159+00:00 GATES G0=True G1=True
2026-09-26T03:15:37.346698+00:00 LAUNCH 82bd7e58fccf85fbf09bf59a2a08fe842abde84201aec8de7a07e77273e37041 todo=42 reused=0 free=11.1GiB
2026-09-26T03:20:57.246184+00:00 cell finished ORACLE_DATA_w13_s2 315.2s terminal=0.0208135
2026-09-26T03:21:02.775366+00:00 cell finished ORACLE_DATA_w13_s0 321.2s terminal=0.0234498
2026-09-26T03:21:04.775431+00:00 cell finished ORACLE_DATA_w13_s1 323.0s terminal=0.0289934
2026-09-26T03:26:18.821648+00:00 cell finished ORACLE_DATA_w14_s0 321.6s terminal=1.45627
2026-09-26T03:26:25.633652+00:00 cell finished ORACLE_DATA_w14_s1 322.8s terminal=0.028909
2026-09-26T03:26:28.805798+00:00 cell finished ORACLE_DATA_w14_s2 324.0s terminal=0.0290639
2026-09-26T03:31:39.313709+00:00 cell finished ORACLE_DATA_w15_s0 320.5s terminal=0.0208982
2026-09-26T03:31:44.753411+00:00 cell finished ORACLE_DATA_w15_s1 319.1s terminal=0.0258535
2026-09-26T03:31:52.195466+00:00 cell finished ORACLE_DATA_w15_s2 323.4s terminal=0.0300968
2026-09-26T03:37:01.742488+00:00 cell finished ORACLE_DATA_w16_s0 322.4s terminal=0.0260635
2026-09-26T03:37:07.628301+00:00 cell finished ORACLE_DATA_w16_s1 322.9s terminal=0.0254846
2026-09-26T03:37:13.425273+00:00 cell finished ORACLE_DATA_w16_s2 321.2s terminal=0.0222808
2026-09-26T03:42:24.908829+00:00 cell finished ORACLE_DATA_w17_s0 323.2s terminal=0.0496267
2026-09-26T03:42:25.057619+00:00 cell finished ORACLE_DATA_w17_s1 317.4s terminal=0.0172926
2026-09-26T03:42:30.852995+00:00 cell finished ORACLE_DATA_w17_s2 317.4s terminal=0.0286895
2026-09-26T03:47:47.368844+00:00 cell finished ORACLE_DATA_w18_s1 322.3s terminal=0.0195022
2026-09-26T03:47:48.531823+00:00 cell finished ORACLE_DATA_w18_s0 323.6s terminal=0.0172452
2026-09-26T03:47:51.609069+00:00 cell finished ORACLE_DATA_w18_s2 320.7s terminal=0.0205759
2026-09-26T03:53:08.606614+00:00 cell finished ORACLE_DATA_w19_s0 321.2s terminal=0.0324742
2026-09-26T03:53:10.516349+00:00 cell finished ORACLE_DATA_w19_s1 321.9s terminal=0.047435
2026-09-26T03:53:13.303961+00:00 cell finished ORACLE_DATA_w19_s2 321.7s terminal=0.014765
2026-09-26T03:58:26.096303+00:00 cell finished REPLAY_ONLY_w13_s0 317.5s terminal=0.0338477
2026-09-26T03:58:32.270083+00:00 cell finished REPLAY_ONLY_w13_s1 321.8s terminal=0.0153297
2026-09-26T03:58:37.355200+00:00 cell finished REPLAY_ONLY_w13_s2 324.0s terminal=0.0426057
2026-09-26T04:03:56.768535+00:00 cell finished REPLAY_ONLY_w14_s0 330.7s terminal=2.15569
2026-09-26T04:04:01.649097+00:00 cell finished REPLAY_ONLY_w14_s1 329.4s terminal=0.0286662
2026-09-26T04:04:06.771224+00:00 cell finished REPLAY_ONLY_w14_s2 329.4s terminal=0.043177
2026-09-26T04:09:17.114346+00:00 cell finished REPLAY_ONLY_w15_s0 320.3s terminal=0.0181262
2026-09-26T04:09:23.117721+00:00 cell finished REPLAY_ONLY_w15_s1 321.5s terminal=0.0388554
2026-09-26T04:09:29.221294+00:00 cell finished REPLAY_ONLY_w15_s2 322.4s terminal=0.127793
2026-09-26T04:14:41.536161+00:00 cell finished REPLAY_ONLY_w16_s0 324.4s terminal=0.0361172
2026-09-26T04:14:45.577242+00:00 cell finished REPLAY_ONLY_w16_s1 322.4s terminal=0.0234392
2026-09-26T04:14:51.110128+00:00 cell finished REPLAY_ONLY_w16_s2 321.9s terminal=0.0239791
2026-09-26T04:20:02.266384+00:00 cell finished REPLAY_ONLY_w17_s0 320.7s terminal=0.0642739
2026-09-26T04:20:06.524180+00:00 cell finished REPLAY_ONLY_w17_s1 320.9s terminal=0.0176193
2026-09-26T04:20:11.973591+00:00 cell finished REPLAY_ONLY_w17_s2 320.9s terminal=0.0242701
2026-09-26T04:25:24.257145+00:00 cell finished REPLAY_ONLY_w18_s0 322.0s terminal=0.168888
2026-09-26T04:25:28.642015+00:00 cell finished REPLAY_ONLY_w18_s2 316.7s terminal=0.0160885
2026-09-26T04:25:29.225417+00:00 cell finished REPLAY_ONLY_w18_s1 322.7s terminal=0.0317457
2026-09-26T04:30:41.270100+00:00 cell finished REPLAY_ONLY_w19_s0 317.0s terminal=0.258949
2026-09-26T04:30:51.501202+00:00 cell finished REPLAY_ONLY_w19_s1 322.9s terminal=0.404645
2026-09-26T04:30:54.122770+00:00 cell finished REPLAY_ONLY_w19_s2 324.9s terminal=0.0166634
