2026-09-26T04:35:26.410910+00:00 GATE G0=True
2026-09-26T04:35:26.441311+00:00 LAUNCH 8a9f04c158d1d21023247df45c7bccf206d0592122c758fd3d5321897728e9db todo=63 reused=0 free=11.3GiB
2026-09-26T04:40:47.812350+00:00 cell finished RES64_w13_s2 316.6s terminal=0.0242965
2026-09-26T04:40:51.442439+00:00 cell finished RES64_w13_s1 320.6s terminal=0.0180187
2026-09-26T04:40:55.109813+00:00 cell finished RES64_w13_s0 324.5s terminal=0.0281242
2026-09-26T04:46:07.792906+00:00 cell finished RES64_w14_s0 320.0s terminal=1.38624
2026-09-26T04:46:15.694814+00:00 cell finished RES64_w14_s1 324.2s terminal=0.0240058
2026-09-26T04:46:20.182953+00:00 cell finished RES64_w14_s2 325.1s terminal=0.0445927
2026-09-26T04:51:28.129892+00:00 cell finished RES64_w15_s0 320.3s terminal=0.0162995
2026-09-26T04:51:38.594357+00:00 cell finished RES64_w15_s1 322.9s terminal=0.0229636
2026-09-26T04:51:44.106750+00:00 cell finished RES64_w15_s2 323.9s terminal=0.0464986
2026-09-26T04:56:55.644727+00:00 cell finished RES64_w16_s0 327.5s terminal=0.0259723
2026-09-26T04:57:07.828131+00:00 cell finished RES64_w16_s1 329.2s terminal=0.0197482
2026-09-26T04:57:18.730847+00:00 cell finished RES64_w16_s2 334.6s terminal=0.0256018
2026-09-26T05:02:23.375813+00:00 cell finished RES64_w17_s0 327.7s terminal=0.0289013
2026-09-26T05:02:31.526075+00:00 cell finished RES64_w17_s1 323.7s terminal=0.0182415
2026-09-26T05:02:44.899415+00:00 cell finished RES64_w17_s2 326.2s terminal=0.0242651
2026-09-26T05:07:47.403843+00:00 cell finished RES64_w18_s0 324.0s terminal=0.0305483
2026-09-26T05:07:51.582114+00:00 cell finished RES64_w18_s1 320.0s terminal=0.0370825
2026-09-26T05:08:11.159935+00:00 cell finished RES64_w18_s2 326.3s terminal=0.0244045
2026-09-26T05:13:08.402348+00:00 cell finished RES64_w19_s0 321.0s terminal=0.0222527
2026-09-26T05:13:17.608043+00:00 cell finished RES64_w19_s1 326.0s terminal=0.0294631
2026-09-26T05:13:33.991583+00:00 cell finished RES64_w19_s2 322.8s terminal=0.0188447
2026-09-26T05:18:29.992846+00:00 cell finished RES16_w13_s0 321.6s terminal=0.0472417
2026-09-26T05:18:38.435267+00:00 cell finished RES16_w13_s1 320.8s terminal=0.0143562
2026-09-26T05:18:54.438416+00:00 cell finished RES16_w13_s2 320.4s terminal=0.0227799
2026-09-26T05:23:52.750540+00:00 cell finished RES16_w14_s0 322.7s terminal=1.36521
2026-09-26T05:24:01.010584+00:00 cell finished RES16_w14_s1 322.6s terminal=0.0245691
2026-09-26T05:24:16.945720+00:00 cell finished RES16_w14_s2 322.5s terminal=0.0415596
2026-09-26T05:29:13.311657+00:00 cell finished RES16_w15_s0 320.5s terminal=0.0232184
2026-09-26T05:29:22.730881+00:00 cell finished RES16_w15_s1 321.7s terminal=0.050886
2026-09-26T05:29:42.379766+00:00 cell finished RES16_w15_s2 325.4s terminal=0.0343761
2026-09-26T05:34:35.774983+00:00 cell finished RES16_w16_s0 322.5s terminal=0.0398542
2026-09-26T05:34:46.814028+00:00 cell finished RES16_w16_s1 324.1s terminal=0.0266128
2026-09-26T05:35:02.549859+00:00 cell finished RES16_w16_s2 320.2s terminal=0.0264296
2026-09-26T05:39:58.807879+00:00 cell finished RES16_w17_s0 323.0s terminal=0.0340985
2026-09-26T05:40:06.820161+00:00 cell finished RES16_w17_s1 320.0s terminal=0.030744
2026-09-26T05:40:26.336549+00:00 cell finished RES16_w17_s2 323.8s terminal=0.0272911
2026-09-26T05:45:21.686536+00:00 cell finished RES16_w18_s0 322.9s terminal=0.0290706
2026-09-26T05:45:29.172466+00:00 cell finished RES16_w18_s1 322.3s terminal=0.0280979
2026-09-26T05:45:49.995328+00:00 cell finished RES16_w18_s2 323.7s terminal=0.0180355
2026-09-26T05:50:41.667935+00:00 cell finished RES16_w19_s0 320.0s terminal=0.0212243
2026-09-26T05:50:52.289484+00:00 cell finished RES16_w19_s1 323.1s terminal=0.0854084
2026-09-26T05:51:13.341349+00:00 cell finished RES16_w19_s2 323.3s terminal=0.0144261
2026-09-26T05:56:00.599567+00:00 cell finished RES4_w13_s0 318.9s terminal=0.0290368
2026-09-26T05:56:16.437657+00:00 cell finished RES4_w13_s1 324.1s terminal=0.0163368
2026-09-26T05:56:35.917225+00:00 cell finished RES4_w13_s2 322.6s terminal=0.0250807
2026-09-26T06:01:24.207034+00:00 cell finished RES4_w14_s0 323.6s terminal=2.00027
2026-09-26T06:01:40.014454+00:00 cell finished RES4_w14_s1 323.6s terminal=0.0233881
2026-09-26T06:02:01.868186+00:00 cell finished RES4_w14_s2 325.9s terminal=0.0442966
2026-09-26T06:06:41.884768+00:00 cell finished RES4_w15_s0 317.7s terminal=0.0201845
2026-09-26T06:07:03.053579+00:00 cell finished RES4_w15_s1 323.0s terminal=0.0257853
2026-09-26T06:07:31.473935+00:00 cell finished RES4_w15_s2 329.4s terminal=0.0451175
2026-09-26T06:12:24.249281+00:00 cell finished RES4_w16_s0 342.4s terminal=0.0434674
2026-09-26T06:12:49.035091+00:00 cell finished RES4_w16_s1 346.0s terminal=0.0370814
2026-09-26T06:13:18.639768+00:00 cell finished RES4_w16_s2 347.4s terminal=0.0378209
2026-09-26T06:17:51.802264+00:00 cell finished RES4_w17_s0 327.5s terminal=0.0388546
2026-09-26T06:18:18.953584+00:00 cell finished RES4_w17_s1 329.9s terminal=0.0171336
2026-09-26T06:18:51.576921+00:00 cell finished RES4_w17_s2 332.9s terminal=0.0280258
2026-09-26T06:23:16.544661+00:00 cell finished RES4_w18_s0 324.7s terminal=0.0417692
2026-09-26T06:23:40.959578+00:00 cell finished RES4_w18_s1 322.0s terminal=0.0352781
2026-09-26T06:24:17.747023+00:00 cell finished RES4_w18_s2 326.2s terminal=0.0134
2026-09-26T06:28:34.712716+00:00 cell finished RES4_w19_s0 318.2s terminal=0.139768
2026-09-26T06:29:01.830757+00:00 cell finished RES4_w19_s1 320.9s terminal=0.16765
2026-09-26T06:29:41.106074+00:00 cell finished RES4_w19_s2 323.2s terminal=0.0124203
