2026-09-26T06:33:18.862219+00:00 GATE G0=True
2026-09-26T06:33:18.873487+00:00 LAUNCH 65a786491d8615f69ac6716cb34fcd22ac48a378154cc9160079c0635a63043c todo=42 reused=0 free=11.2GiB
2026-09-26T06:38:55.593454+00:00 cell finished STAGED_SLEEP_w13_s1 331.4s terminal=0.00866293
2026-09-26T06:38:55.884104+00:00 cell finished STAGED_SLEEP_w13_s2 331.4s terminal=0.0146106
2026-09-26T06:38:57.828795+00:00 cell finished STAGED_SLEEP_w13_s0 333.8s terminal=0.0241381
2026-09-26T06:44:27.938151+00:00 cell finished STAGED_SLEEP_w14_s0 332.3s terminal=0.0210396
2026-09-26T06:44:29.085999+00:00 cell finished STAGED_SLEEP_w14_s2 331.3s terminal=1.00336
2026-09-26T06:44:33.146392+00:00 cell finished STAGED_SLEEP_w14_s1 337.3s terminal=1.31423
2026-09-26T06:50:00.395938+00:00 cell finished STAGED_SLEEP_w15_s0 332.5s terminal=0.00859602
2026-09-26T06:50:03.616240+00:00 cell finished STAGED_SLEEP_w15_s1 334.5s terminal=0.0110286
2026-09-26T06:50:06.534690+00:00 cell finished STAGED_SLEEP_w15_s2 333.4s terminal=0.00789199
2026-09-26T06:55:34.088837+00:00 cell finished STAGED_SLEEP_w16_s0 333.7s terminal=0.02608
2026-09-26T06:55:39.159435+00:00 cell finished STAGED_SLEEP_w16_s2 332.6s terminal=0.0268181
2026-09-26T06:55:42.126375+00:00 cell finished STAGED_SLEEP_w16_s1 338.5s terminal=1.31972
2026-09-26T07:01:15.061138+00:00 cell finished STAGED_SLEEP_w17_s0 341.0s terminal=0.0190615
2026-09-26T07:01:19.983666+00:00 cell finished STAGED_SLEEP_w17_s2 337.8s terminal=0.00737404
2026-09-26T07:01:23.470302+00:00 cell finished STAGED_SLEEP_w17_s1 344.3s terminal=0.0129461
2026-09-26T07:07:00.014105+00:00 cell finished STAGED_SLEEP_w18_s0 344.9s terminal=0.00827665
2026-09-26T07:07:05.037758+00:00 cell finished STAGED_SLEEP_w18_s1 345.1s terminal=0.0141014
2026-09-26T07:07:11.005947+00:00 cell finished STAGED_SLEEP_w18_s2 347.5s terminal=0.0128175
2026-09-26T07:13:07.461964+00:00 cell finished STAGED_SLEEP_w19_s0 367.4s terminal=0.011871
2026-09-26T07:13:12.324325+00:00 cell finished STAGED_SLEEP_w19_s1 367.3s terminal=0.00766664
2026-09-26T07:13:18.873608+00:00 cell finished STAGED_SLEEP_w19_s2 367.9s terminal=0.0094728
2026-09-26T07:19:10.460972+00:00 cell finished MIXED_SLEEP_w13_s0 363.0s terminal=0.0169338
2026-09-26T07:19:15.379860+00:00 cell finished MIXED_SLEEP_w13_s1 363.0s terminal=0.0229181
2026-09-26T07:19:17.407968+00:00 cell finished MIXED_SLEEP_w13_s2 358.5s terminal=0.0549335
2026-09-26T07:24:41.969208+00:00 cell finished MIXED_SLEEP_w14_s0 331.5s terminal=0.244717
2026-09-26T07:24:45.002340+00:00 cell finished MIXED_SLEEP_w14_s1 329.6s terminal=0.547155
2026-09-26T07:24:46.560267+00:00 cell finished MIXED_SLEEP_w14_s2 329.1s terminal=0.0434226
2026-09-26T07:30:07.719339+00:00 cell finished MIXED_SLEEP_w15_s0 325.7s terminal=0.0361071
2026-09-26T07:30:11.593749+00:00 cell finished MIXED_SLEEP_w15_s1 326.6s terminal=0.0480863
2026-09-26T07:30:13.667454+00:00 cell finished MIXED_SLEEP_w15_s2 327.1s terminal=0.0283632
2026-09-26T07:35:40.987868+00:00 cell finished MIXED_SLEEP_w16_s0 333.3s terminal=0.0321663
2026-09-26T07:35:46.732146+00:00 cell finished MIXED_SLEEP_w16_s2 333.1s terminal=0.0290182
2026-09-26T07:35:49.910070+00:00 cell finished MIXED_SLEEP_w16_s1 338.3s terminal=1.16418
2026-09-26T07:41:07.367783+00:00 cell finished MIXED_SLEEP_w17_s0 326.4s terminal=0.0339558
2026-09-26T07:41:10.918357+00:00 cell finished MIXED_SLEEP_w17_s1 324.2s terminal=0.0315746
2026-09-26T07:41:19.016523+00:00 cell finished MIXED_SLEEP_w17_s2 329.1s terminal=0.0558817
2026-09-26T07:46:37.040928+00:00 cell finished MIXED_SLEEP_w18_s0 329.7s terminal=0.0217226
2026-09-26T07:46:38.705152+00:00 cell finished MIXED_SLEEP_w18_s1 327.8s terminal=0.946228
2026-09-26T07:46:50.349408+00:00 cell finished MIXED_SLEEP_w18_s2 331.3s terminal=0.122567
2026-09-26T07:52:12.753488+00:00 cell finished MIXED_SLEEP_w19_s0 335.7s terminal=0.0258241
2026-09-26T07:52:13.932587+00:00 cell finished MIXED_SLEEP_w19_s1 335.2s terminal=0.0456431
2026-09-26T07:52:23.179418+00:00 cell finished MIXED_SLEEP_w19_s2 332.8s terminal=0.0576146
