2026-09-26T08:16:38.305374+00:00 GATE G0=True {'w14_s1': True, 'w14_s2': True, 'w16_s1': True}
2026-09-26T08:16:38.326661+00:00 LAUNCH 5cb24e710d50f562d6ae61c6d5259342e46893d8ffd1957740302cb8a0d99167 todo=42 reused=0 free=8.6GiB
2026-09-26T08:23:28.823161+00:00 cell finished w13_s0_k2 405.8s terminal=0.175506
2026-09-26T08:23:29.687265+00:00 cell finished w13_s0_k1 406.8s terminal=1.78584
2026-09-26T08:23:30.204157+00:00 cell finished w13_s1_k1 406.8s terminal=0.0550279
2026-09-26T08:30:19.669892+00:00 cell finished w13_s2_k1 410.0s terminal=0.0176504
2026-09-26T08:30:20.533966+00:00 cell finished w13_s1_k2 411.7s terminal=0.0834857
2026-09-26T08:30:21.266818+00:00 cell finished w13_s2_k2 411.1s terminal=0.0172148
2026-09-26T08:37:14.940578+00:00 cell finished w14_s0_k2 414.4s terminal=0.023249
2026-09-26T08:37:16.596991+00:00 cell finished w14_s1_k1 415.3s terminal=2.20379
2026-09-26T08:37:17.796977+00:00 cell finished w14_s0_k1 418.1s terminal=0.170751
2026-09-26T08:44:06.523478+00:00 cell finished w14_s2_k1 409.9s terminal=0.670177
2026-09-26T08:44:06.558366+00:00 cell finished w14_s1_k2 411.6s terminal=0.109727
2026-09-26T08:44:08.253819+00:00 cell finished w14_s2_k2 410.4s terminal=0.25257
2026-09-26T08:50:56.222194+00:00 cell finished w15_s0_k1 409.7s terminal=0.20656
2026-09-26T08:51:02.577723+00:00 cell finished w15_s1_k1 414.3s terminal=0.23203
2026-09-26T08:51:02.791673+00:00 cell finished w15_s0_k2 416.2s terminal=0.0384775
2026-09-26T08:57:45.571610+00:00 cell finished w15_s1_k2 409.3s terminal=0.0141341
2026-09-26T08:57:51.088368+00:00 cell finished w15_s2_k1 408.5s terminal=0.125229
2026-09-26T08:57:55.630176+00:00 cell finished w15_s2_k2 412.8s terminal=0.085874
2026-09-26T09:04:40.971045+00:00 cell finished w16_s0_k1 415.1s terminal=0.120616
2026-09-26T09:04:46.845111+00:00 cell finished w16_s0_k2 415.8s terminal=0.0463671
2026-09-26T09:04:54.085585+00:00 cell finished w16_s1_k1 418.4s terminal=1.72334
2026-09-26T09:11:45.772302+00:00 cell finished w16_s1_k2 425.1s terminal=2.02113
2026-09-26T09:11:57.137845+00:00 cell finished w16_s2_k1 430.3s terminal=0.0790023
2026-09-26T09:12:02.030870+00:00 cell finished w16_s2_k2 427.9s terminal=0.0988043
2026-09-26T09:18:35.362355+00:00 cell finished w17_s0_k1 409.6s terminal=0.014774
2026-09-26T09:18:42.726145+00:00 cell finished w17_s0_k2 405.6s terminal=0.0322608
2026-09-26T09:18:52.795391+00:00 cell finished w17_s1_k1 410.8s terminal=0.0291424
2026-09-26T09:25:03.521105+00:00 cell finished w17_s1_k2 388.1s terminal=0.0327758
2026-09-26T09:25:10.405770+00:00 cell finished w17_s2_k1 387.7s terminal=0.0125463
2026-09-26T09:25:23.787165+00:00 cell finished w17_s2_k2 391.0s terminal=0.0123461
2026-09-26T09:31:38.441898+00:00 cell finished w18_s0_k1 394.9s terminal=0.0192029
2026-09-26T09:31:39.202316+00:00 cell finished w18_s0_k2 388.8s terminal=0.0239398
2026-09-26T09:31:51.599162+00:00 cell finished w18_s1_k1 387.8s terminal=0.0310163
2026-09-26T09:38:07.826627+00:00 cell finished w18_s2_k1 388.6s terminal=0.00923065
2026-09-26T09:38:09.362621+00:00 cell finished w18_s1_k2 390.9s terminal=0.0541147
2026-09-26T09:38:21.110081+00:00 cell finished w18_s2_k2 389.5s terminal=0.023702
2026-09-26T09:44:33.514146+00:00 cell finished w19_s0_k1 385.7s terminal=0.0138056
2026-09-26T09:44:38.025722+00:00 cell finished w19_s0_k2 388.7s terminal=0.0229017
2026-09-26T09:44:53.276057+00:00 cell finished w19_s1_k1 392.2s terminal=0.0361591
2026-09-26T09:51:03.403985+00:00 cell finished w19_s1_k2 389.9s terminal=0.0424143
2026-09-26T09:51:05.645006+00:00 cell finished w19_s2_k1 387.6s terminal=0.0172634
2026-09-26T09:51:18.822625+00:00 cell finished w19_s2_k2 385.5s terminal=0.0210825
